2024-04-23 13:59:17 upgrade dpkg:arm64 1.22.6ubuntu6 1.22.6ubuntu6
2024-04-23 13:59:17 status half-configured dpkg:arm64 1.22.6ubuntu6
2024-04-23 13:59:17 status unpacked dpkg:arm64 1.22.6ubuntu6
2024-04-23 13:59:17 status half-installed dpkg:arm64 1.22.6ubuntu6
2024-04-23 13:59:17 status unpacked dpkg:arm64 1.22.6ubuntu6
2024-04-23 13:59:17 install e2fsprogs:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:17 status half-installed e2fsprogs:arm64 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:17 status unpacked e2fsprogs:arm64 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:17 install findutils:arm64 <none> 4.9.0-5build1
2024-04-23 13:59:17 status half-installed findutils:arm64 4.9.0-5build1
2024-04-23 13:59:17 status unpacked findutils:arm64 4.9.0-5build1
2024-04-23 13:59:17 install gcc-14-base:arm64 <none> 14-20240412-0ubuntu1
2024-04-23 13:59:17 status half-installed gcc-14-base:arm64 14-20240412-0ubuntu1
2024-04-23 13:59:17 status unpacked gcc-14-base:arm64 14-20240412-0ubuntu1
2024-04-23 13:59:17 install grep:arm64 <none> 3.11-4build1
2024-04-23 13:59:17 status half-installed grep:arm64 3.11-4build1
2024-04-23 13:59:17 status unpacked grep:arm64 3.11-4build1
2024-04-23 13:59:17 install gzip:arm64 <none> 1.12-1ubuntu3
2024-04-23 13:59:17 status half-installed gzip:arm64 1.12-1ubuntu3
2024-04-23 13:59:17 status unpacked gzip:arm64 1.12-1ubuntu3
2024-04-23 13:59:17 install hostname:arm64 <none> 3.23+nmu2ubuntu2
2024-04-23 13:59:17 status half-installed hostname:arm64 3.23+nmu2ubuntu2
2024-04-23 13:59:17 status unpacked hostname:arm64 3.23+nmu2ubuntu2
2024-04-23 13:59:17 install init-system-helpers:all <none> 1.66ubuntu1
2024-04-23 13:59:17 status half-installed init-system-helpers:all 1.66ubuntu1
2024-04-23 13:59:17 status unpacked init-system-helpers:all 1.66ubuntu1
2024-04-23 13:59:17 install libacl1:arm64 <none> 2.3.2-1build1
2024-04-23 13:59:17 status half-installed libacl1:arm64 2.3.2-1build1
2024-04-23 13:59:17 status unpacked libacl1:arm64 2.3.2-1build1
2024-04-23 13:59:17 install libattr1:arm64 <none> 1:2.5.2-1build1
2024-04-23 13:59:17 status half-installed libattr1:arm64 1:2.5.2-1build1
2024-04-23 13:59:17 status unpacked libattr1:arm64 1:2.5.2-1build1
2024-04-23 13:59:17 install libaudit-common:all <none> 1:3.1.2-2.1build1
2024-04-23 13:59:17 status half-installed libaudit-common:all 1:3.1.2-2.1build1
2024-04-23 13:59:17 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2024-04-23 13:59:17 install libaudit1:arm64 <none> 1:3.1.2-2.1build1
2024-04-23 13:59:17 status half-installed libaudit1:arm64 1:3.1.2-2.1build1
2024-04-23 13:59:17 status unpacked libaudit1:arm64 1:3.1.2-2.1build1
2024-04-23 13:59:17 install libblkid1:arm64 <none> 2.39.3-9ubuntu6
2024-04-23 13:59:17 status half-installed libblkid1:arm64 2.39.3-9ubuntu6
2024-04-23 13:59:17 status unpacked libblkid1:arm64 2.39.3-9ubuntu6
2024-04-23 13:59:17 install libbz2-1.0:arm64 <none> 1.0.8-5.1
2024-04-23 13:59:17 status half-installed libbz2-1.0:arm64 1.0.8-5.1
2024-04-23 13:59:17 status unpacked libbz2-1.0:arm64 1.0.8-5.1
2024-04-23 13:59:17 install libc-bin:arm64 <none> 2.39-0ubuntu8
2024-04-23 13:59:17 status half-installed libc-bin:arm64 2.39-0ubuntu8
2024-04-23 13:59:17 status unpacked libc-bin:arm64 2.39-0ubuntu8
2024-04-23 13:59:17 upgrade libc6:arm64 2.39-0ubuntu8 2.39-0ubuntu8
2024-04-23 13:59:17 status half-configured libc6:arm64 2.39-0ubuntu8
2024-04-23 13:59:17 status unpacked libc6:arm64 2.39-0ubuntu8
2024-04-23 13:59:17 status half-installed libc6:arm64 2.39-0ubuntu8
2024-04-23 13:59:17 status unpacked libc6:arm64 2.39-0ubuntu8
2024-04-23 13:59:18 install libcap-ng0:arm64 <none> 0.8.4-2build2
2024-04-23 13:59:18 status half-installed libcap-ng0:arm64 0.8.4-2build2
2024-04-23 13:59:18 status unpacked libcap-ng0:arm64 0.8.4-2build2
2024-04-23 13:59:18 install libcap2:arm64 <none> 1:2.66-5ubuntu2
2024-04-23 13:59:18 status half-installed libcap2:arm64 1:2.66-5ubuntu2
2024-04-23 13:59:18 status unpacked libcap2:arm64 1:2.66-5ubuntu2
2024-04-23 13:59:18 install libcom-err2:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:18 status half-installed libcom-err2:arm64 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:18 status unpacked libcom-err2:arm64 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:18 install libcrypt1:arm64 <none> 1:4.4.36-4build1
2024-04-23 13:59:18 status half-installed libcrypt1:arm64 1:4.4.36-4build1
2024-04-23 13:59:18 status unpacked libcrypt1:arm64 1:4.4.36-4build1
2024-04-23 13:59:18 install libdebconfclient0:arm64 <none> 0.271ubuntu3
2024-04-23 13:59:18 status half-installed libdebconfclient0:arm64 0.271ubuntu3
2024-04-23 13:59:18 status unpacked libdebconfclient0:arm64 0.271ubuntu3
2024-04-23 13:59:18 install libext2fs2t64:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:18 status half-installed libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
